Title,Authors
Impacts from Partial Removal of Decommissioned Oil and Gas Platforms on Fish Biomass and Production on the Remaining Platform Structure and Surrounding Shell Mounds,"Claisse, Jeremy T;II, Daniel JPondella;Love, Milton;Zahn, Laurel A;Williams, Chelsea M;Bull, Ann S"
Fundulus grandis Otolith Microchemistry as a Metric of Estuarine Discrimination and Oil Exposure,"Nelson, T Reid;Devries, Dennis R;Wright, Russell A;Gagnon, Joel E"
Long-term patterns in estuarine fish growth across two climatically divergent regions,"Doubleday, Zoë A;Izzo, Christopher;Haddy, James A;Lyle, Jeremy M;Ye, Qifeng;Gillanders, Bronwyn M"
A cage release method to improve fish tagging studies,"Williams, Laura Jay;Herbig, Jennifer L;Szedlmayer, Stephen T"
Spatial and Dietary Overlap Creates Potential for Competition between Red Snapper (Lutjanus campechanus) and Vermilion snapper (Rhomboplites aurorubens),"Davis, William T;Drymon, J Marcus;Powers, Sean P"
"The life cycle of Huffmanela huffmani Moravec, 1987 (Nematoda: Trichosomoididae), an endemic marine-relict parasite of Centrarchidae from a Central Texas spring","Worsham, McLean L D;Huffman, David G;Moravec, Frantisek;Gibson, J Randy"
Acoustic positioning and movement patterns of red snapper Lutjanus campechanus around artificial reefs in the northern Gulf of Mexico,"Williams-Grove, Laura Jay;Szedlmayer, Stephen T"
The Potential for Unreported Artificial Reefs to Serve as Refuges from Fishing Mortality for Reef Fishes,"Addis, Dustin T;Patterson, William F, III;Dance, Michael A"
"Mercury, selenium and fish oils in marine food webs and implications for human health","Gribble, Matthew O;Karimi, Roxanne;Feingold, Beth J;Nyland, Jennifer F;O'Hara, Todd M;Gladyshev, Michail I;Chen, Celia Y"
"VARIATION OF FEEDING HABITS OF LUTJANUS PERU (ACTINOPTERYGII: PERCIFORMES: LUTJANIDAE) CAUGHT IN TWO REGIONS OF THE GULF OF CALIFORNIA, MEXICO","Moreno-Sanchez, Xchel G;Abitia-Cardenas, Leonardo A;Trujillo-Retana, Gisela;Navia, Andrés F;Ramírez-Pérez, Jorge S;Shirasago-German, Bernardo"
"No loss of genetic diversity in the exploited and recently collapsed population of Bay of Biscay anchovy (Engraulis encrasicolus, L.)","Montes, Iratxe;Iriondo, Mikel;Manzano, Carmen;Santos, Maria;Conklin, Darrell;Carvalho, Gary R;Irigoien, Xabier;Estonba, Andone"
Patterns of Coral-Reef Finfish Species Disappearances Inferred from Fishers' Knowledge in Global Epicentre of Marine Shorefish Diversity,"Lavides, Margarita N;Molina, Erina PaulineV;Jr, de laRosa;Mill, Aileen C;Rushton, Stephen P;Stead, Selina M;Polunin, Nicholas VC"
"Ontogenetic and spatial variability in trophic biomarkers of juvenile saffron cod (Eleginus gracilis) from the Beaufort, Chukchi and Bering Seas","Copeman, Louise A;Laurel, Benjamin J;Boswell, Kevin M;Sremba, Angie L;Klinck, Karolin;Heintz, Ron A;Vollenweider, Johanna J;Helser, Thomas E;Spencer, Mara L"
Tidal and Diel Patterns in Abundance and Feeding of a Marine-Estuarine-Dependent Fish from Macrotidal Mangrove Creeks in the Tropical Eastern Pacific (Colombia),"Ramirez-martínez, Gustavo A;Castellanos-galindo, Gustavo A;Krumme, Uwe"
Lack of Spatial Subdivision for the Snapper Lutjanus purpureus (Lutjanidae - Perciformes) from Southwest Atlantic Based on Multi-Locus Analyses,"Silva, Raimundo da;Sampaio, Iracilda;Schneider, Horacio;Gomes, Grazielle"
"Review of the life history characteristics, ecology and fisheries for deep-water tropical demersal fish in the Indo-Pacific region","Newman, Stephen J;Williams, Ashley J;Wakefield, Corey B;Nicol, Simon J;Taylor, Brett M;O'malley, Joseph M"
Stock assessment in inland fisheries: a foundation for sustainable use and conservation,"Lorenzen, K;Cowx, I G;Entsua-mensah, R E; M;Lester, N P;Koehn, J D;Randall, R G;So, N;Bonar, S A;Bunnell, D B;Venturelli, P;Bower, S D;Cooke, S J"
A designed artificial reef is among the most productive marine fish habitats: new metrics to address 'production versus attraction',"Smith, James A;Lowry, Michael B;Champion, Curtis;Suthers, Iain M"
Hamacreadium cribbi n. sp. (Digenea: Opecoelidae) from Lethrinus miniatus (Forster) (Perciformes: Lethrinidae) from New Caledonian waters,"Bray, Rodney A;Justine, Jean-lou"
A bank divided: quantifying a spatial and temporal connectivity break between the Campeche Bank and the northeastern Gulf of Mexico,"Johnston, Matthew W;Bernard, Andrea M"
Seasonal and sex differences in energy reserves of red snapper Lutjanus campechanus on natural and artificial reefs in the northwestern Gulf of Mexico,"Schwartzkopf, Brittany D;Cowan, James H, Jr"
"An Updated Review of Ciguatera Fish Poisoning: Clinical, Epidemiological, Environmental, and Public Health Management","Friedman, Melissa A;Fernandez, Mercedes;Backer, Lorraine C;Dickey, Robert W;Bernstein, Jeffrey;Schrank, Kathleen;Kibler, Steven;Stephan, Wendy;Gribble, Matthew O;Bienfang, Paul;Bowen, Robert E;Degrasse, Stacey;Flores Quintana, Harold A;Loeffler, Christopher R;Weisman, Richard;Blythe, Donna;Berdalet, Elisa;Ayyar, Ram;Clarkson-Townsend, Danielle;Swajian, Karen;Benner, Ronald;Brewer, Tom;Fleming, Lora E"
Forecasting lionfish sources and sinks in the Atlantic: are Gulf of Mexico reef fisheries at risk?,"Johnston, Matthew W;Bernard, Andrea M;Shivji, Mahmood S"
Timing and locations of reef fish spawning off the southeastern United States,"Farmer, Nicholas A;Heyman, William D;Karnauskas, Mandy;Kobara, Shinichi;Smart, Tracey I;Ballenger, Joseph C;Reichert, Marcel JM;Wyanski, David M;Tishler, Michelle S;Lindeman, Kenyon C;Lowerre-Barbieri, Susan K;Switzer, Theodore S;Solomon, Justin J;McCain, Kyle;Marhefka, Mark"
Temporal and spatial comparisons of the reproductive biology of northern Gulf of Mexico (USA) red snapper (Lutjanus campechanus) collected a decade apart,"Kulaw, Dannielle H;Cowan, James H, Jr;Jackson, Melissa W"
A kinematic investigation into the feeding behavior of the Goliath grouper Epinephelus itajara,"Collins, A B;Motta, P J"
Catch shares slow the race to fish,"Birkenbach, Anna M;Kaczan, David J;Smith, Martin D"
Improving the characterization of fish assemblage structure through the use of multiple sampling methods: a case study in a subtropical tidal flat ecosystem,"Contente, Riguel Feltrin;Del Bianco Rossi-wongtschowski, Carmen Lucia"
Dynamic oceanography determines fine scale foraging behavior of Masked Boobies in the Gulf of Mexico,"Poli, Caroline L;Autumn-Lynn Harrison;Vallarino, Adriana;Gerard, Patrick D;Jodice, Patrick G R"
