X.1,X,YR,STATIONID,DEPTH_SSTA,MO_DAY_YR,STAT_ZONE,TOW_NO,DECSLAT,DECSLON,MESH_SIZE,MIN_FISH,BOT_TYPE,BOT_REG,ENVREC_STATIONID,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,CHLORSURF,CHLORMID,CHLORMAX,OXYSURF,OXYMID,OXYMAX,TURBSURF,TURBMID,TURBMAX,GENUS_BGS,SPEC_BGS,SumOfCNTEXP,rscpue,bathymetry,rugosity,date,month,day,optional,PLATFORM_COUNT,Sum_Length,carbonate.pcnt,gravel.prct,mud.prct,oyst.prct,rock.prct,sand.prct,optional.1,n.art.reef,art.reef.dis
3950,3695,1994,61865,32.9,7/6/1994 0:00,14,1,28.5,-90.73,1.63,25,,,61865,30.18,26.73,22.23,22.24,35.31,36.37,0.45,0.51,0.68,7,6.1,3.3,NA,NA,NA,,,NA,0,-33,0.75,7/6/1994,7,6,TRUE,2,24.23736406,8.300000191,0,94,NA,0,5,TRUE,0,1.832363951
3951,3696,1994,61866,31.1,7/6/1994 0:00,14,1,28.52,-90.7,1.63,20,,,61866,30.07,27.21,22.6,22.15,34.79,36.35,0.45,0.68,0,7.3,6.4,3.6,NA,NA,NA,,,NA,0,-30,1.25,7/6/1994,7,6,TRUE,1,5.013831315,8.199999809,0,94,NA,0,5,TRUE,0,1.832363951
3952,3697,1994,61867,36.6,7/6/1994 0:00,14,1,28.47,-90.89,1.63,26,,,61867,29.87,27.27,22,21.82,34.43,36.36,0.69,0.56,0.52,7.1,6.1,2.5,NA,NA,NA,LUTJANU,CAMPEC,17,0.65,-35,0.5,7/6/1994,7,6,TRUE,3,12.59608347,96.69999695,0,57,NA,0,41,TRUE,0,1.832363951
3953,3698,1994,61868,32.9,7/6/1994 0:00,14,1,28.5,-90.72,1.63,20,,,61868,29.76,27.45,22.41,21.87,34.4,36.36,0.87,0.48,0.96,8.2,6.7,3.4,NA,NA,NA,LUTJANU,CAMPEC,7,0.35,-33,0.875,7/6/1994,7,6,TRUE,2,19.92016657,8.199999809,0,94,NA,0,5,TRUE,0,1.832363951
3954,3699,1994,61869,32.9,7/6/1994 0:00,14,1,28.51,-90.7,1.63,19,,,61869,29.89,27.25,22.39,21.81,34.62,36.36,0.67,0.95,0.86,7.7,6.6,3.4,NA,NA,NA,,,NA,0,-32,2.125,7/6/1994,7,6,TRUE,0,4.775936416,8.100000381,0,94,NA,0,5,TRUE,0,1.832363951
3955,3700,1994,61872,29.3,7/6/1994 0:00,13,1,29.03,-89.86,1.63,13,,,61872,30.96,26.37,22.69,21.61,35.48,36.34,0.8,0.59,1.55,7.1,5.4,2.5,NA,NA,NA,,,NA,0,-31,0.875,7/6/1994,7,6,TRUE,0,263.4276854,42.40000153,0,96,NA,0,3,TRUE,0,1.832363951
3956,3701,1994,61873,29.3,7/6/1994 0:00,13,1,29.03,-89.85,1.63,12,,,61873,30.44,26.41,22.6,21.56,35.43,36.31,0.45,0.08,0.42,7.3,6.1,2.2,NA,NA,NA,,,NA,0,-32,0.875,7/6/1994,7,6,TRUE,1,240.8249233,25,0,98,NA,0,1,TRUE,0,1.832363951
3957,3702,1994,61874,9.1,7/6/1994 0:00,13,1,29.25,-89.72,1.63,27,,,61874,30.76,30.77,28.12,21.1,21.1,29.85,6.43,2.71,2.71,8,7.3,3.6,NA,NA,NA,,,NA,0,-8,0.5,7/6/1994,7,6,TRUE,0,16.77068394,23.5,0,98,NA,0,1,TRUE,0,1.832363951
3958,3703,1994,61875,25.6,7/7/1994 0:00,13,1,29.1,-89.76,1.63,17,,,61875,30.71,26.7,24.29,22.04,35.21,36.18,0.45,0.34,0.34,7.3,5.9,5.2,NA,NA,NA,LUTJANU,CAMPEC,1,0.05,-25,0.75,7/7/1994,7,7,TRUE,5,52.29278141,54.29999924,1,84,NA,0,14,TRUE,0,1.832363951
3959,3704,1994,61876,18.3,7/7/1994 0:00,13,1,29.1,-89.66,1.63,30,,,61876,30.1,27.8,25.87,21.52,33.78,35.51,1.35,0.68,1.18,7.4,5.6,4.2,NA,NA,NA,LUTJANU,CAMPEC,2,0.06,-16,1.125,7/7/1994,7,7,TRUE,2,34.26042384,42.90000153,11,72,NA,0,15,TRUE,0,1.832363951
3960,3705,1994,61878,18.3,7/7/1994 0:00,13,1,29.09,-89.66,1.63,29,,,61878,30.33,28.17,25.31,22.11,32.68,36.06,1.07,0.8,0.77,7.5,4.9,6.1,NA,NA,NA,LUTJANU,CAMPEC,4,0.13,-17,1.625,7/7/1994,7,7,TRUE,1,38.74690792,41.70000076,11,72,NA,0,15,TRUE,0,1.832363951
3961,3706,1994,61879,29.3,7/7/1994 0:00,13,1,29.07,-89.75,1.63,17,,,61879,30.22,26.25,23.82,21.58,35.66,36.27,1.19,0.47,0.45,7.9,5.9,6.1,NA,NA,NA,,,NA,0,-30,1,7/7/1994,7,7,TRUE,0,18.24168498,83.5,1,84,NA,0,14,TRUE,0,1.832363951
3962,3707,1994,61880,9.1,7/7/1994 0:00,13,1,29.25,-89.72,1.63,28,,,61880,30.17,30.24,27.92,21.1,22.33,30.9,5.53,2.5,8.2,8.1,7.1,2.2,NA,NA,NA,,,NA,0,-8,0.5,7/7/1994,7,7,TRUE,0,16.77068394,23.5,0,98,NA,0,1,TRUE,0,1.832363951
3963,3708,1994,61881,11,7/7/1994 0:00,14,1,29.13,-90.04,1.63,25,,,61881,30.05,28.1,27.45,23.56,31.51,33.04,5,1.58,3.4,7,4.5,3.1,NA,NA,NA,,,NA,0,-10,0.875,7/7/1994,7,7,TRUE,0,0,53.59999847,0,98,50,0,0,TRUE,0,1.832363951
3964,3709,1994,61882,11,7/7/1994 0:00,14,1,29.13,-90.05,1.63,30,,,61882,29.71,28.49,27.41,23.08,30.55,33.07,1.92,1.18,2.73,6.8,6,3.2,NA,NA,NA,,,NA,0,-10,0.5,7/7/1994,7,7,TRUE,0,0,100,0,98,50,0,0,TRUE,0,1.832363951
3965,3734,1994,64386,82.3,10/14/1994 0:00,21,1,26.4,-96.39,1.63,26,,S,64386,27.22,27.23,18.29,36.16,36.36,36.56,0.08,NA,NA,8,8.1,5.1,59.81,60.45,53.99,LUTJANU,CAMPEC,2,0.07,-83,1.25,10/14/1994,10,14,TRUE,0,0,0,NA,NA,NA,NA,NA,TRUE,0,1.832363951
3966,3735,1994,64388,45.7,10/14/1994 0:00,21,1,26.58,-96.8,1.63,60,,S,64388,27.25,26.92,26.3,36,35.16,33.56,0.72,NA,NA,7.4,7.9,8.3,55.07,60.89,58.87,LUTJANU,CAMPEC,6,0.1,-46,0.625,10/14/1994,10,14,TRUE,0,0,96.40000153,0,99,NA,0,0,TRUE,0,1.832363951
3967,3736,1994,64391,9.1,10/15/1994 0:00,21,1,26.09,-97.14,1.63,10,,S,64391,25.51,25.51,25.5,31.61,31.62,31.62,0.45,NA,NA,6.9,6.4,8.3,57.1,54.73,35.07,LUTJANU,CAMPEC,7,0.7,-12,2.125,10/15/1994,10,15,TRUE,0,0,NA,0,1,NA,0,97,TRUE,0,1.832363951
3968,3737,1994,64392,9.1,10/15/1994 0:00,21,1,26.04,-97.13,1.63,10,,S,64392,25.42,25.42,25.43,31.55,31.55,31.55,0.77,NA,NA,8,7,8.6,31.96,32.23,25.04,,,NA,0,-11,2.375,10/15/1994,10,15,TRUE,0,0,98.5,5,38,NA,0,55,TRUE,0,1.832363951
3969,3738,1994,64393,25.6,10/15/1994 0:00,21,1,26.21,-97.02,1.63,15,,S,64393,25.85,26.31,26.69,32.09,33.99,34.24,0.89,NA,NA,8.6,7.9,8.1,60.37,60.52,21.32,,,NA,0,-25,1.125,10/15/1994,10,15,TRUE,0,0,69.90000153,2,43,NA,0,53,TRUE,0,1.832363951
3970,3739,1994,64394,29.3,10/15/1994 0:00,21,1,26.29,-96.98,1.63,42,,S,64394,25.91,26.48,26.65,33.61,33.88,34.14,0.36,NA,NA,6.7,8.1,7.7,60.87,58.57,13.26,LUTJANU,CAMPEC,18,0.42,-28,0.375,10/15/1994,10,15,TRUE,0,0,29,2,61,NA,0,36,TRUE,0,1.832363951
3971,3739,1994,64394,29.3,10/15/1994 0:00,21,1,26.29,-96.98,1.63,42,,S,64394,25.91,26.48,26.65,33.61,33.88,34.14,0.36,NA,NA,6.7,8.1,7.7,60.87,58.57,13.26,LUTJANU,CAMPEC,18,0.42,-28,0.375,10/15/1994,10,15,TRUE,0,0,29,2,61,NA,0,36,TRUE,0,1.832363951
3972,3739,1994,64394,29.3,10/15/1994 0:00,21,1,26.29,-96.98,1.63,42,,S,64394,25.91,26.48,26.65,33.61,33.88,34.14,0.36,NA,NA,6.7,8.1,7.7,60.87,58.57,13.26,LUTJANU,CAMPEC,18,0.42,-28,0.375,10/15/1994,10,15,TRUE,0,0,29,2,61,NA,0,36,TRUE,0,1.832363951
3973,3739,1994,64394,29.3,10/15/1994 0:00,21,1,26.29,-96.98,1.63,42,,S,64394,25.91,26.48,26.65,33.61,33.88,34.14,0.36,NA,NA,6.7,8.1,7.7,60.87,58.57,13.26,LUTJANU,CAMPEC,18,0.42,-28,0.375,10/15/1994,10,15,TRUE,0,0,29,2,61,NA,0,36,TRUE,0,1.832363951
3974,3740,1994,64395,16.5,10/15/1994 0:00,21,1,26.26,-97.13,1.63,28,,S,64395,25.61,25.41,25.37,31.79,31.86,31.76,0.36,NA,NA,8.2,8.1,8.6,55.72,54.71,22.01,,,NA,0,-16,0.375,10/15/1994,10,15,TRUE,0,0,69.5,3,14,NA,0,82,TRUE,0,1.832363951
3975,3741,1994,64397,21.9,10/15/1994 0:00,21,1,26.51,-97.1,1.63,10,,S,64397,26,25.69,26.25,31.84,31.83,32.83,0.59,NA,NA,8.7,8.8,7.5,60.03,60.82,49.92,LUTJANU,CAMPEC,4,0.4,-30,4.5,10/15/1994,10,15,TRUE,0,0,0,10,29,NA,0,59,TRUE,0,1.832363951
3976,3742,1994,64398,11,10/15/1994 0:00,21,1,26.48,-97.23,1.63,10,,S,64398,25.53,25.52,25.43,31.73,31.72,31.72,0.82,NA,NA,9.2,9.1,9.1,45.96,45.07,37.33,,,NA,0,-9,2.75,10/15/1994,10,15,TRUE,0,0,NA,NA,NA,NA,NA,NA,TRUE,0,1.832363951
3977,3743,1994,64399,27.4,10/15/1994 0:00,21,1,26.7,-97.14,1.63,16,,S,64399,25.58,25.93,26.41,31.11,32.85,33.36,0.8,NA,NA,8.5,8.4,7.6,61.01,61.48,4.51,LUTJANU,CAMPEC,19,1.18,-28,1,10/15/1994,10,15,TRUE,0,0,0,8,31,NA,0,61,TRUE,0,1.832363951
3978,3744,1994,64400,31.1,10/15/1994 0:00,21,1,26.58,-97.07,1.63,16,,S,64400,25.66,26.62,26.77,31.42,33.54,33.66,0.63,NA,NA,8,7.6,7.2,61.53,56.75,22.37,LUTJANU,CAMPEC,12,0.75,-32,0.5,10/15/1994,10,15,TRUE,0,0,0,10,32,NA,0,57,TRUE,0,1.832363951
3979,3744,1994,64400,31.1,10/15/1994 0:00,21,1,26.58,-97.07,1.63,16,,S,64400,25.66,26.62,26.77,31.42,33.54,33.66,0.63,NA,NA,8,7.6,7.2,61.53,56.75,22.37,LUTJANU,CAMPEC,12,0.75,-32,0.5,10/15/1994,10,15,TRUE,0,0,0,10,32,NA,0,57,TRUE,0,1.832363951
3980,3744,1994,64400,31.1,10/15/1994 0:00,21,1,26.58,-97.07,1.63,16,,S,64400,25.66,26.62,26.77,31.42,33.54,33.66,0.63,NA,NA,8,7.6,7.2,61.53,56.75,22.37,LUTJANU,CAMPEC,12,0.75,-32,0.5,10/15/1994,10,15,TRUE,0,0,0,10,32,NA,0,57,TRUE,0,1.832363951
3981,3744,1994,64400,31.1,10/15/1994 0:00,21,1,26.58,-97.07,1.63,16,,S,64400,25.66,26.62,26.77,31.42,33.54,33.66,0.63,NA,NA,8,7.6,7.2,61.53,56.75,22.37,LUTJANU,CAMPEC,12,0.75,-32,0.5,10/15/1994,10,15,TRUE,0,0,0,10,32,NA,0,57,TRUE,0,1.832363951
3982,3745,1994,64401,34.7,10/16/1994 0:00,21,1,26.54,-97.02,1.63,38,,S,64401,25.73,26.46,26.81,31.61,33.46,33.95,0.45,NA,NA,8.5,8.1,7.2,61.75,62.1,37.65,LUTJANU,CAMPEC,8,0.21,-34,0.5,10/16/1994,10,16,TRUE,0,0,0,9,38,NA,0,51,TRUE,0,1.832363951
3983,3746,1994,64402,54.9,10/16/1994 0:00,21,1,26.63,-96.79,1.63,54,,S,64402,26.06,27.53,24.18,32.93,35.72,36.57,0.37,NA,NA,7.8,7.4,6.9,61.36,61.19,42.16,,,NA,0,-54,1.625,10/16/1994,10,16,TRUE,0,0,98.80000305,0,99,NA,0,0,TRUE,0,1.832363951
3984,3747,1994,64404,64,10/16/1994 0:00,21,1,26.81,-96.79,1.63,60,,S,64404,26.22,27.29,22.8,33.34,36.03,38.86,1.19,NA,NA,7.5,7.8,8.5,61.68,62.42,48.82,LUTJANU,CAMPEC,1,0.01,-65,1.25,10/16/1994,10,16,TRUE,0,0,99.5,0,96,NA,0,3,TRUE,0,1.832363951
3985,3748,1994,64406,40.2,10/16/1994 0:00,21,1,26.71,-96.97,1.63,57,,S,64406,25.85,26.16,26.3,32.29,33.66,34.01,0.77,NA,NA,8.3,8.1,7.9,59.44,59.76,46.13,LUTJANU,CAMPEC,42,0.73,-40,0.625,10/16/1994,10,16,TRUE,0,0.27342847,0,3,84,NA,0,12,TRUE,0,1.832363951
3986,3749,1994,64407,36.6,10/16/1994 0:00,21,1,26.73,-97.02,1.63,34,,S,64407,25.84,26,26.12,32.36,33,33.18,0.56,NA,NA,7.2,7.9,7.9,60.18,45.76,24.2,LUTJANU,CAMPEC,25,0.73,-36,0.125,10/16/1994,10,16,TRUE,0,0,0,0,98,NA,0,0,TRUE,0,1.832363951
3987,3750,1994,64408,31.1,10/16/1994 0:00,21,1,26.9,-97.13,1.63,37,,S,64408,25.57,25.87,26.25,31.23,32.18,33.73,0.53,NA,NA,9,8.6,7.4,54.16,51.95,33.27,LUTJANU,CAMPEC,19,0.51,-30,0.25,10/16/1994,10,16,TRUE,0,0,0,0,96,NA,0,3,TRUE,0,1.832363951
3988,3751,1994,64409,12.8,10/16/1994 0:00,21,1,26.96,-97.35,1.63,11,,S,64409,25.28,25.26,25.09,30.68,30.71,30.84,0.96,NA,NA,7.5,6.9,8.2,54.43,54.38,34.67,,,NA,0,-14,1.25,10/16/1994,10,16,TRUE,0,0,NA,0,18,NA,0,81,TRUE,0,1.832363951
3989,3752,1994,64410,16.5,10/16/1994 0:00,20,1,27.12,-97.32,1.63,27,,S,64410,25.54,25.53,25.33,30.53,30.57,31.17,0.74,NA,NA,9.1,9.1,8.4,57.42,56.53,28.24,LUTJANU,CAMPEC,143,5.29,-15,0.5,10/16/1994,10,16,TRUE,0,5.039764791,NA,0,38,NA,0,61,TRUE,0,1.832363951
3990,3753,1994,64411,21.9,10/16/1994 0:00,20,1,27.26,-97.23,1.63,35,,S,64411,25.12,25.56,25.59,30.32,31.98,32.03,0.9,NA,NA,8.3,7.9,7.7,53,57.07,16.95,LUTJANU,CAMPEC,46,1.31,-21,0.375,10/16/1994,10,16,TRUE,0,0,0,0,90,NA,0,9,TRUE,0,1.832363951
3991,3754,1994,64412,73.2,10/17/1994 0:00,21,1,26.92,-96.75,1.63,58,,S,64412,26.73,27.28,20.99,34.34,36.14,36.52,0.21,NA,NA,7.5,7.9,6.3,61.68,62.39,45.88,,,NA,0,-76,1,10/17/1994,10,17,TRUE,1,0.736961738,98.80000305,0,96,NA,0,3,TRUE,0,1.832363951
3992,3755,1994,64413,40.2,10/17/1994 0:00,21,1,26.92,-96.96,1.63,56,,S,64413,25.9,26.39,27.31,32.19,34.27,35.95,0.59,NA,NA,7.1,7.9,6.6,59.66,61.65,0,LUTJANU,CAMPEC,48,0.85,-45,0.625,10/17/1994,10,17,TRUE,0,0,52.29999924,0,96,NA,0,3,TRUE,0,1.832363951
3993,3756,1994,64415,34.7,10/17/1994 0:00,20,1,27,-97.08,1.63,31,,S,64415,25.51,26,26.31,31.21,33.41,34.27,0.72,NA,NA,8.1,8,7.8,55.72,61.53,32.6,LUTJANU,CAMPEC,36,1.16,-34,0.75,10/17/1994,10,17,TRUE,0,0,0,0,94,NA,0,4,TRUE,0,1.832363951
3994,3757,1994,64416,73.2,10/17/1994 0:00,20,1,27.09,-96.73,1.63,60,,S,64416,26.11,27.38,21.68,31.79,36.1,36.61,0.32,NA,NA,8.1,7.9,8,59.61,61.06,51.7,,,NA,0,-75,1.125,10/17/1994,10,17,TRUE,0,0,77.90000153,0,97,NA,0,2,TRUE,0,1.832363951
3995,3758,1994,64421,27.4,10/18/1994 0:00,20,1,27.5,-97.01,1.63,34,,S,64421,26.01,26,25.97,30.83,32.55,32.68,0.41,NA,NA,8.1,8.5,8.6,56.09,49.51,7.74,LUTJANU,CAMPEC,107,3.14,-27,0.625,10/18/1994,10,18,TRUE,0,3.480448598,0,0,96,NA,0,3,TRUE,0,1.832363951
3996,3759,1994,64422,20.1,10/18/1994 0:00,20,1,27.49,-97.14,1.63,32,,S,64422,25.37,25.46,25.24,29.59,30.16,30.57,0.54,NA,NA,8.2,8.2,8.7,56.16,45.83,0.25,LUTJANU,CAMPEC,12,0.37,-20,0.75,10/18/1994,10,18,TRUE,0,0,NA,0,95,NA,0,4,TRUE,0,1.832363951
3997,3760,1994,64423,20.1,10/18/1994 0:00,20,1,27.66,-97.04,1.63,36,,S,64423,25.5,25.5,25.24,29.78,29.8,30.22,1.01,NA,NA,7.3,8.6,8.6,52.88,50.86,3.01,LUTJANU,CAMPEC,9,0.25,-19,0.5,10/18/1994,10,18,TRUE,0,0,NA,0,77,NA,0,21,TRUE,0,1.832363951
3998,3761,1994,64424,16.5,10/18/1994 0:00,20,1,27.51,-97.18,1.63,23,,S,64424,25.06,25.52,25.74,29.63,29.71,30.1,0.96,NA,NA,7.4,7.5,8.5,43.1,53.45,19.54,LUTJANU,CAMPEC,23,1,-16,0.5,10/18/1994,10,18,TRUE,0,0,NA,0,54,NA,0,44,TRUE,0,1.832363951
3999,3762,1994,64425,18.3,10/18/1994 0:00,20,1,27.55,-97.13,1.63,20,,S,64425,25.21,25.21,25.2,29.83,29.87,30.95,1.1,NA,NA,8.5,8.3,7.9,34.28,30.01,14.71,LUTJANU,CAMPEC,5,0.25,-18,0.625,10/18/1994,10,18,TRUE,0,0,NA,0,85,NA,0,14,TRUE,0,1.832363951
4000,3763,1994,64426,12.8,10/18/1994 0:00,20,1,27.58,-97.18,1.63,16,,S,64426,24.93,24.93,24.79,29.02,29.03,29.05,1.83,NA,NA,8.5,8.5,8.3,29.89,29.89,12.07,LUTJANU,CAMPEC,1,0.06,-12,0.5,10/18/1994,10,18,TRUE,0,0,NA,0,25,NA,0,74,TRUE,0,1.832363951
4001,3764,1994,64427,20.1,10/18/1994 0:00,20,1,27.61,-97.07,1.63,24,,S,64427,25.79,25.53,25.2,25.71,30.07,30.15,0.49,NA,NA,7.8,7.6,7.6,38.96,46.28,0.99,LUTJANU,CAMPEC,4,0.16,-19,0.5,10/18/1994,10,18,TRUE,0,4.273989995,NA,0,88,NA,0,11,TRUE,0,1.832363951
4002,3765,1994,64428,23.8,10/18/1994 0:00,20,1,27.63,-96.99,1.63,35,,S,64428,25.59,25.4,25.34,30.01,30.82,30.94,1.6,NA,NA,8.8,8.1,7.7,41.4,31.59,2.91,LUTJANU,CAMPEC,48,1.37,-24,0.5,10/18/1994,10,18,TRUE,0,10.04761103,90.69999695,0,90,NA,0,8,TRUE,0,1.832363951
4003,3766,1994,64429,31.1,10/18/1994 0:00,20,1,27.72,-96.74,1.63,15,,S,64429,29.19,26.82,26.71,32.28,34.84,35.05,0.85,NA,NA,8,7.9,7.6,55.59,61.04,31.79,LUTJANU,CAMPEC,40,2.66,-33,0.625,10/18/1994,10,18,TRUE,0,0,0,0,92,NA,0,7,TRUE,0,1.832363951
4004,3767,1994,64430,40.2,10/18/1994 0:00,20,1,27.69,-96.64,1.63,41,,S,64430,26.68,26.56,26.7,34.52,34.51,34.9,0.39,NA,NA,6.3,7.9,7.6,59.81,58.18,39.23,LUTJANU,CAMPEC,89,2.17,-42,0.75,10/18/1994,10,18,TRUE,0,0,100,0,93,NA,0,6,TRUE,0,1.832363951
4005,3768,1994,64432,54.9,10/18/1994 0:00,20,1,27.67,-96.51,1.63,60,,S,64432,26.49,26.52,26.65,34.13,34.35,34.7,0.26,NA,NA,6.4,7.9,7.7,52.59,52.56,34.2,LUTJANU,CAMPEC,149,2.48,-55,0.75,10/18/1994,10,18,TRUE,0,0,100,0,94,NA,0,4,TRUE,0,1.832363951
4006,3768,1994,64432,54.9,10/18/1994 0:00,20,1,27.67,-96.51,1.63,60,,S,64432,26.49,26.52,26.65,34.13,34.35,34.7,0.26,NA,NA,6.4,7.9,7.7,52.59,52.56,34.2,LUTJANU,CAMPEC,149,2.48,-55,0.75,10/18/1994,10,18,TRUE,0,0,100,0,94,NA,0,4,TRUE,0,1.832363951
4007,3768,1994,64432,54.9,10/18/1994 0:00,20,1,27.67,-96.51,1.63,60,,S,64432,26.49,26.52,26.65,34.13,34.35,34.7,0.26,NA,NA,6.4,7.9,7.7,52.59,52.56,34.2,LUTJANU,CAMPEC,149,2.48,-55,0.75,10/18/1994,10,18,TRUE,0,0,100,0,94,NA,0,4,TRUE,0,1.832363951
4008,3768,1994,64432,54.9,10/18/1994 0:00,20,1,27.67,-96.51,1.63,60,,S,64432,26.49,26.52,26.65,34.13,34.35,34.7,0.26,NA,NA,6.4,7.9,7.7,52.59,52.56,34.2,LUTJANU,CAMPEC,149,2.48,-55,0.75,10/18/1994,10,18,TRUE,0,0,100,0,94,NA,0,4,TRUE,0,1.832363951
4009,3769,1994,64433,32.9,10/19/1994 0:00,20,1,27.72,-96.73,1.63,20,,S,64433,25.76,26.69,26.72,31.58,34.68,35.01,0.62,NA,NA,7.7,7.7,7.5,47.56,55.84,12.69,LUTJANU,CAMPEC,81,4.05,-33,0.5,10/19/1994,10,19,TRUE,0,0,0,0,92,NA,0,7,TRUE,0,1.832363951
4010,3770,1994,64434,16.5,10/19/1994 0:00,20,1,27.84,-96.93,1.63,24,,S,64434,24.78,24.78,24.79,28.33,28.33,28.34,1.85,NA,NA,8,8.2,8.1,4.21,3.82,0.91,LUTJANU,CAMPEC,7,0.29,-16,1,10/19/1994,10,19,TRUE,0,0,100,0,86,NA,0,12,TRUE,0,1.832363951
4011,3771,1994,64435,12.8,10/19/1994 0:00,20,1,27.94,-96.89,1.63,23,,S,64435,27.71,24.72,24.68,28.02,28.01,28.01,2.22,NA,NA,8,8.1,8.2,5.22,4.41,1.16,,,NA,0,-13,0.625,10/19/1994,10,19,TRUE,0,0,NA,0,28,NA,0,70,TRUE,0,1.832363951
4012,3772,1994,64436,23.8,10/19/1994 0:00,20,1,27.95,-96.63,1.63,25,,S,64436,24.99,25.33,25.51,25.12,28.33,30.45,1.09,NA,NA,7.8,6.9,7.9,42.26,33.64,10.23,LUTJANU,CAMPEC,17,0.68,-24,0.375,10/19/1994,10,19,TRUE,0,0,0,1,80,NA,0,18,TRUE,0,1.832363951
4013,3773,1994,64437,21.9,10/19/1994 0:00,19,1,28.02,-96.59,1.63,43,,S,64437,25.17,25.65,25.7,30.04,31.39,31.41,1.15,NA,NA,7.2,7.6,7.6,40.09,21.59,3.4,LUTJANU,CAMPEC,3,0.06,-22,0.625,10/19/1994,10,19,TRUE,0,0,0,0,63,NA,0,36,TRUE,0,1.832363951
4014,3774,1994,64438,12.8,10/19/1994 0:00,19,1,28.16,-96.64,1.63,26,,S,64438,24.72,24.74,24.71,27.76,27.79,27.78,2.39,NA,NA,8,8,8,5.1,6.14,7.22,,,NA,0,-12,0.25,10/19/1994,10,19,TRUE,0,0,NA,0,16,NA,0,82,TRUE,0,1.832363951
4015,3775,1994,64439,12.8,10/19/1994 0:00,19,1,28.33,-96.35,1.63,14,,S,64439,24.82,24.76,25.19,24.69,28.01,30.15,1.9,NA,NA,7.2,8,7.7,18.6,13.31,0.12,,,NA,0,-14,1.25,10/19/1994,10,19,TRUE,0,0,NA,0,89,NA,0,10,TRUE,0,1.832363951
4016,3776,1994,64440,27.4,10/19/1994 0:00,19,1,28.05,-96.36,1.63,19,,S,64440,25.83,26.41,26.47,31.13,33.88,34.01,1.23,NA,NA,8.3,7.9,7.8,37.46,35.85,33.64,LUTJANU,CAMPEC,34,1.78,-28,0.5,10/19/1994,10,19,TRUE,0,0,0,0,79,NA,30,19,TRUE,0,1.832363951
4017,3777,1994,64442,27.4,10/19/1994 0:00,19,1,28.05,-96.36,1.63,20,,S,64442,26.44,26.51,26.54,25.32,32.16,34.15,1.88,NA,NA,6.8,7.4,7.4,39.25,42.19,27.18,LUTJANU,CAMPEC,114,5.7,-28,0.5,10/19/1994,10,19,TRUE,0,0,0,0,79,NA,30,19,TRUE,0,1.832363951
4018,3778,1994,64443,25.6,10/19/1994 0:00,19,1,28.18,-96.18,1.63,51,,S,64443,25.59,26.09,26.56,32.23,33.39,34.38,0.85,NA,NA,7,8.1,7.7,42.51,53.52,4.88,LUTJANU,CAMPEC,465,9.11,-25,0.5,10/19/1994,10,19,TRUE,0,1.923166369,NA,0,21,NA,0,77,TRUE,0,1.832363951
4019,3778,1994,64443,25.6,10/19/1994 0:00,19,1,28.18,-96.18,1.63,51,,S,64443,25.59,26.09,26.56,32.23,33.39,34.38,0.85,NA,NA,7,8.1,7.7,42.51,53.52,4.88,LUTJANU,CAMPEC,465,9.11,-25,0.5,10/19/1994,10,19,TRUE,0,1.923166369,NA,0,21,NA,0,77,TRUE,0,1.832363951
4020,3778,1994,64443,25.6,10/19/1994 0:00,19,1,28.18,-96.18,1.63,51,,S,64443,25.59,26.09,26.56,32.23,33.39,34.38,0.85,NA,NA,7,8.1,7.7,42.51,53.52,4.88,LUTJANU,CAMPEC,465,9.11,-25,0.5,10/19/1994,10,19,TRUE,0,1.923166369,NA,0,21,NA,0,77,TRUE,0,1.832363951
4021,3778,1994,64443,25.6,10/19/1994 0:00,19,1,28.18,-96.18,1.63,51,,S,64443,25.59,26.09,26.56,32.23,33.39,34.38,0.85,NA,NA,7,8.1,7.7,42.51,53.52,4.88,LUTJANU,CAMPEC,465,9.11,-25,0.5,10/19/1994,10,19,TRUE,0,1.923166369,NA,0,21,NA,0,77,TRUE,0,1.832363951
4022,3779,1994,64445,36.6,10/20/1994 0:00,19,1,28.16,-95.8,1.63,60,,S,64445,25.56,26.18,26.49,31.29,33.34,34.2,0.64,NA,NA,6.6,7.5,7.7,52.96,44.65,46.2,LUTJANU,CAMPEC,53,0.88,-36,0.5,10/20/1994,10,20,TRUE,0,6.449969238,0,NA,NA,NA,NA,NA,TRUE,0,1.832363951
4023,3779,1994,64445,36.6,10/20/1994 0:00,19,1,28.16,-95.8,1.63,60,,S,64445,25.56,26.18,26.49,31.29,33.34,34.2,0.64,NA,NA,6.6,7.5,7.7,52.96,44.65,46.2,LUTJANU,CAMPEC,53,0.88,-36,0.5,10/20/1994,10,20,TRUE,0,6.449969238,0,NA,NA,NA,NA,NA,TRUE,0,1.832363951
4024,3779,1994,64445,36.6,10/20/1994 0:00,19,1,28.16,-95.8,1.63,60,,S,64445,25.56,26.18,26.49,31.29,33.34,34.2,0.64,NA,NA,6.6,7.5,7.7,52.96,44.65,46.2,LUTJANU,CAMPEC,53,0.88,-36,0.5,10/20/1994,10,20,TRUE,0,6.449969238,0,NA,NA,NA,NA,NA,TRUE,0,1.832363951
